,year,city,gradeScore,sellingCondition,marketplacePrice,mileage,Transmission,make,model
12178,2019,Lagos,,foreign,0,354,Automatic,Toyota,Camry
12179,2008,Lagos,,,0,0,Automatic,Toyota,RAV 4
12180,2016,Lagos,,foreign,17065000,0,Automatic,Mercedes-Benz,GLE 350
12181,2010,Lagos,,foreign,3975000,75000,Automatic,Toyota,RAV 4
12182,2011,Lagos,,foreign,7385000,52526,Automatic,Toyota,Venza
12183,2010,Lagos,,foreign,0,72516,Automatic,Mercedes-Benz,ML 350
12184,1997,Lagos,,foreign,1165000,111,Automatic,Toyota,Hiace
12185,2020,Lagos,,new,26635000,0,Automatic,Toyota,Hilux
12186,2013,Lagos,,foreign,14865000,0,Automatic,Lexus,GX 460
12187,2007,Lagos,,foreign,4745000,62134,Automatic,Lexus,RX 350
12188,2005,Lagos,,foreign,3005000,852138,Automatic,Toyota,RAV 4
12189,2005,Lagos,,foreign,5295000,0,Automatic,Lexus,GX 470
12190,2011,Lagos,,foreign,5075000,96000,Automatic,Lexus,ES 300
12191,2006,Lagos,,foreign,0,180000,Automatic,Toyota,Corolla
12192,2010,Lagos,,foreign,0,79264,Automatic,Mercedes-Benz,ML 350
12193,2007,Lagos,,foreign,3292500,87976,Automatic,Mercedes-Benz,C 230
12194,2012,Lagos,,foreign,9915000,73322,Automatic,Mercedes-Benz,GL 450
12195,2017,Lagos,,foreign,7165000,33000,Automatic,Toyota,Corolla
12196,2013,Lagos,,foreign,0,0,Automatic,Lexus,RX 200
12197,2006,Lagos,,foreign,2085000,0,Automatic,Toyota,Matrix
12198,2008,Lagos,,foreign,4965000,80778,Automatic,Land,Rover Range Rover Sport
12199,2008,Lagos,,foreign,0,0,Automatic,Toyota,Tacoma
12200,2011,Lagos,,foreign,5845000,0,Automatic,Toyota,Sienna
12201,2010,Lagos,,foreign,3667000,79,Automatic,Toyota,Camry
12202,2009,Lagos,,foreign,0,1135,Automatic,Mercedes-Benz,ML 350
12203,2010,Lagos,,foreign,6835000,0,Automatic,Land,Rover Range Rover Sport
12204,2005,Lagos,,foreign,5295000,53821,Automatic,Lexus,GX 470
12205,2010,Lagos,,foreign,4195000,75643,Automatic,Toyota,Camry
12206,2010,Ibadan,,foreign,4965000,130000,Automatic,Acura,RDX
12207,2008,Lagos,,foreign,5240000,43562,Automatic,Mercedes-Benz,ML 350
12208,2013,Lagos,,foreign,11565000,29000,Automatic,Toyota,Sequoia
12209,2012,Lagos,,foreign,121015000,0,Automatic,Lexus,GX 470
12210,2015,Lagos,,foreign,5845000,83000,Automatic,Hyundai,Sonata
12211,2010,Lagos,,foreign,5405000,10000,Automatic,Mercedes-Benz,ML 350
12212,2006,Lagos,,foreign,3465000,0,Automatic,Mercedes-Benz,ML 350
12213,2007,Lagos,,foreign,2775000,0,Automatic,Toyota,Corolla
12214,2008,Lagos,,foreign,4965000,0,Automatic,Lexus,RX 200
12215,2007,Lagos,,foreign,0,0,Automatic,Toyota,Avalon
