,Price,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age
9723,,Lagos,foreign,,3.0,2013.0,Mercedes-Benz,ML 350,Automatic,7.0
9724,,Lagos,foreign,,3.0,2013.0,Toyota,Camry,Automatic,7.0
9725,,Lagos,foreign,,3.0,2005.0,Toyota,Camry,Automatic,15.0
9727,,Lagos,foreign,,3.0,2006.0,Lexus,IS 250,Automatic,14.0
9728,,Lagos,foreign,,3.0,2012.0,Toyota,Camry,Automatic,8.0
9729,,Lagos,foreign,,3.0,2007.0,Honda,Pilot,Automatic,13.0
9730,,Lagos,foreign,,3.0,2006.0,Toyota,Camry,Automatic,14.0
9731,,Lagos,foreign,,3.0,2018.0,Toyota,Camry,Automatic,2.0
9732,,Lagos,foreign,,3.0,2008.0,Toyota,4-Runner,Automatic,12.0
9733,,Lagos,foreign,,3.0,2018.0,Mercedes-Benz,GLE 350,Automatic,2.0
9734,,Lagos,foreign,,3.0,2008.0,Toyota,RAV 4,Automatic,12.0
9735,,Abuja,foreign,,3.0,2012.0,Ford,Edge,Automatic,8.0
9736,,Lagos,foreign,,3.0,2003.0,Lexus,RX 300,Automatic,17.0
9737,,Lagos,foreign,,3.0,2015.0,Mercedes-Benz,C 300,Automatic,5.0
9738,,Lagos,foreign,,3.0,2008.0,Mercedes-Benz,GL 450,Automatic,12.0
9739,,Lagos,foreign,,3.0,2013.0,Toyota,Highlander,Automatic,7.0
9740,,Lagos,foreign,,3.0,2012.0,Hyundai,ix35,Automatic,8.0
9741,,Lagos,foreign,,3.0,2008.0,Acura,MDX,Automatic,12.0
9742,,Lagos,foreign,,3.0,2007.0,Toyota,Corolla,Automatic,13.0
9743,,Lagos,foreign,,3.0,2015.0,Lexus,RX 350,Automatic,5.0
9744,,Lagos,foreign,,3.0,2015.0,Honda,Accord,Automatic,5.0
9745,,Lagos,foreign,,3.0,2008.0,Lexus,ES 350,Automatic,12.0
9746,,Lagos,foreign,,3.0,2005.0,Toyota,Sienna,Automatic,15.0
9747,,Lagos,foreign,,3.0,2010.0,Lexus,ES 350,Automatic,10.0
9748,,Lagos,foreign,,3.0,2013.0,Toyota,Land Cruiser,Automatic,7.0
9749,,Lagos,foreign,,3.0,2004.0,Lexus,ES 330,Automatic,16.0
9750,,Lagos,foreign,,3.0,2007.0,Toyota,Highlander,Automatic,13.0
